Team,Conference,Seed,Points,Elo,HomeWins,HomeLosses,HomeOTL,RoadWins,RoadLosses,RoadOTL
Toronto Maple Leafs,East,1,108,1600,27,13,1,25,13,3
Tampa Bay Lightning,East,2,102,1565,29,8,4,18,19,4
Florida Panthers,East,3,98,1540,27,12,2,20,19,2
Ottawa Senators,East,4,97,1535,27,11,3,18,19,4
Washington Capitals,East,5,111,1620,26,9,6,25,13,3
Carolina Hurricanes,East,6,99,1550,31,9,1,16,21,4
New Jersey Devils,East,7,91,1500,19,17,5,23,16,2
Montreal Canadiens,East,8,91,1500,23,12,6,17,19,5
Vegas Golden Knights,West,1,110,1615,29,9,3,21,13,7
Los Angeles Kings,West,2,105,1585,31,6,4,17,19,5
Edmonton Oilers,West,3,101,1560,25,13,3,23,16,2
Minnesota Wild,West,4,97,1535,22,17,2,23,13,5
Winnipeg Jets,West,5,116,1650,30,7,4,26,15,0
Dallas Stars,West,6,106,1590,28,10,3,22,16,3
Colorado Avalanche,West,7,102,1565,26,12,3,23,17,1
St. Louis Blues,West,8,96,1530,24,14,3,20,16,5
